"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"173",2017-07-04,96575,14.5,21.4,0.1,4.9,9.217,0,0,0,0,0
"174",2017-03-29,63516,9,14.6,4.8,6,0.6,0,0,0,0,0
"175",2017-12-21,35035,4.6,7.8,0.8,7.5,0,0,0,0,0,0
"176",2017-07-31,83857,19.9,29.4,2,5.8,9.367,0,0,0,0,0
"177",2017-07-29,56606,15.8,26.4,0,5.5,4.5,0,0,1,0,0
"178",2017-08-17,85708,13.7,25.8,0.1,4.5,7.783,0,0,0,0,0
"179",2017-03-21,50585,5.8,12.4,2.6,7.3,0.7,0,0,0,0,0
"180",2017-01-30,25224,-1.4,2.3,10.9,7.3,0,0,0,0,0,0
"181",2017-04-03,71508,6.1,11,0,5.8,0,0,0,0,0,0
"182",2017-11-07,71174,0.7,9.3,0,4.1,4.567,0,0,0,0,0
"183",2018-03-13,44001,4.3,11.7,2.1,7,0.417,0,0,0,0,0
"184",2018-03-19,40590,-6.3,3.7,0,0.9,11.017,0,0,0,0,0
"185",2018-06-17,62085,17.2,27.1,0,3.2,11.333,0,0,0,1,0
"186",2018-11-24,27107,0.1,3.4,0.1,7.9,0,0,0,1,0,0
"187",2018-04-26,61104,7,13.9,3.3,4.8,3.9,0,0,0,0,0
"188",2018-12-22,18242,3.5,9.9,6.1,7.3,0,0,0,1,0,0
"189",2018-04-23,82162,11.8,21.7,0.1,5,6.883,0,0,0,0,0
"190",2018-08-22,103701,11.8,28.8,0,1,12.783,0,0,0,0,0
"191",2018-05-01,48111,6.4,16.4,0,3.4,10.317,0,0,0,1,0
"192",2018-03-14,40012,2.5,5.1,0.5,7.6,0,0,0,0,0,0
"193",2018-01-27,26484,4.5,7.3,0,7.2,0.467,0,0,1,0,0
"194",2018-02-10,18439,-1.5,3,0,7.5,0.5,0,0,1,0,0
"195",2018-01-15,42816,-2.6,3.5,4.7,5.6,5.217,0,0,0,0,0
"196",2018-10-21,39035,3.8,15.8,0,1.6,9.033,0,0,0,1,0
"197",2018-03-03,15529,-12,-2.1,0,0.4,9.55,0,0,1,0,0
"198",2018-05-12,61738,9.7,23,0,3.3,6.917,0,0,1,0,0
"199",2018-02-04,18079,-3.5,3.6,0.1,4.8,6.333,0,0,0,1,0
"200",2018-03-18,14125,-5.9,1.3,0,2.7,10.933,0,0,0,1,0
"201",2018-04-15,60607,8.4,22.2,0,5.9,9.267,0,0,0,1,0
"202",2018-07-04,105120,14.9,31.9,0,0.8,15.417,0,0,0,0,0
"203",2018-11-23,48463,0.5,3.4,0,7.8,0,0,0,0,0,0
"204",2018-06-02,55599,18.4,26.4,0.1,6.8,3.2,0,0,1,0,0
"205",2018-01-31,39676,0.3,9.3,6.8,7.5,0,0,0,0,0,0
"206",2018-02-06,36158,-7.3,0.7,0,2.9,8.083,0,0,0,0,0
"207",2018-09-12,94917,15.5,28.9,0,4.4,7.317,0,0,0,0,0
"208",2018-08-19,57773,14.9,30.9,0,2.7,12.2,0,0,0,1,0
"209",2018-01-28,17965,5.9,9.7,1.8,7.7,0.05,0,0,0,1,0
"210",2018-12-17,43956,-1.3,2.5,0,7.6,0,0,0,0,0,0
"211",2018-05-28,101785,16.4,32.1,0,4.4,13.75,0,0,0,0,0
"212",2018-10-12,84273,11.6,25.7,0,0.6,9.717,0,0,0,0,0
"213",2018-05-07,100237,9.4,23.9,0,0.3,14.1,0,0,0,0,0
"214",2018-10-25,46868,9.5,12.8,1.6,7.5,0.133,0,0,0,0,0
"215",2018-03-01,28171,-11.9,-4.8,0,0.8,9.7,0,0,0,0,0
"216",2018-10-11,85936,11.6,24.3,0,0.4,9.75,0,0,0,0,0
"217",2018-12-09,16476,6.1,8.4,1.4,7.4,0.017,0,0,0,1,0
"218",2018-09-25,78215,5.1,14.7,0,2.1,9.233,0,0,0,0,0
"219",2018-04-03,48169,5.3,18.8,0,7,5.317,0,0,0,0,0
"220",2018-10-27,33244,4.3,10.3,0,6.6,0.8,0,0,1,0,0
"221",2018-07-21,60165,14.6,27.8,0,5.5,12,0,0,1,0,0
"222",2018-04-08,60827,7.9,20.2,0,0.7,11.983,0,0,0,1,0
"223",2018-10-09,78059,4,18.9,0,5,4.35,0,0,0,0,0
"224",2018-08-29,100521,11.2,27.8,0,2.3,11.983,0,0,0,0,0
"225",2018-02-02,41048,-0.1,5.2,0.7,5.5,1.85,0,0,0,0,0
"226",2018-12-16,16972,-1.5,0.3,0,7.7,0,0,0,0,1,0
"227",2018-04-27,82569,5,16.4,0,5.3,10.717,0,0,0,0,0
"228",2018-03-27,47503,0.6,7.9,0,6,4.083,0,0,0,0,0
