"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"491",2019-02-01,11809,-0.7,6,0,0,0,0,0,0
"492",2019-08-22,42158,16.5,24,0.3,0,0,0,0,0
"493",2019-02-09,8849,1.7,7.2,0,0,0,1,0,0
"494",2019-02-28,27940,7.9,18.2,0,0,0,0,0,0
"495",2019-11-14,23395,3.6,9.1,0,0,0,0,0,0
"496",2019-06-12,57295,22.2,32.9,0,0,0,0,0,0
"497",2019-10-31,20392,2.5,6.5,0,0,0,0,0,0
"498",2019-11-04,24349,10.9,16.1,4.4,0,0,0,0,0
"499",2019-05-10,40216,12,18.8,0.1,0,0,0,0,0
"500",2019-07-17,52246,17.4,26.5,0,0,0,0,0,0
"501",2019-05-23,25574,12.7,17.3,5.8,0,0,0,0,0
"502",2019-02-24,6681,-2,5.2,0,0,0,0,1,0
"503",2019-07-01,40702,24,36.9,0,0,0,0,0,0
"504",2019-02-10,6919,2.1,7,0,0,0,0,1,0
"505",2019-03-02,5696,5.2,8.8,9.1,0,0,1,0,0
"506",2019-10-28,19224,8.7,16.3,2.8,0,0,0,0,0
"507",2019-03-01,20563,9.1,14.1,1.3,0,0,0,0,0
"508",2019-03-06,28674,5.9,13.9,0,0,0,0,0,0
"509",2019-11-18,21835,7.3,12.3,0.6,0,0,0,0,0
"510",2019-05-17,35962,9,17.1,0,0,0,0,0,0
"511",2019-12-13,14406,0.2,3.7,0.4,0,0,0,0,0
"512",2019-12-28,5020,1.8,4,0,0,0,1,0,0
"513",2019-04-16,35579,5.1,16.8,0,0,0,0,0,0
"514",2019-03-07,28337,7.5,18.2,0,0,0,0,0,0
"515",2019-04-11,23637,6.6,9.5,1.4,0,0,0,0,0
"516",2019-09-08,25757,14,19.3,3.3,0,0,0,1,0
"517",2019-07-25,50500,22.5,33.9,0,0,0,0,0,0
"518",2019-03-30,31499,5.8,18,0,0,0,1,0,0
"519",2019-12-07,8779,-0.7,8.7,0.6,0,0,1,0,0
