"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"283",2018-06-28,7364,11.6,15.7,20.7,94,0,0,0,0,0,0
"284",2018-05-27,18106,13.8,27,0,93,10.9,0,0,0,1,0
"285",2018-10-04,14619,5.8,17.2,0,11,10,0,0,0,0,0
"286",2018-12-01,4737,3.7,9.6,0,96,2.4,0,0,1,0,0
"287",2018-09-17,18969,14.5,25.8,0,28,11,0,0,0,0,0
"288",2018-07-24,24755,13,28,0,4,14,0,0,0,0,0
"289",2018-11-29,9164,-1.7,2.4,0,95,5.9,0,0,0,0,0
"290",2018-06-30,17005,15,26.7,0,29,12.4,0,0,1,0,0
"291",2018-05-13,11112,12,26.1,10.6,48,10.3,0,0,0,1,0
"292",2018-04-16,7526,11.5,14.8,2.5,96,0.2,0,0,0,0,0
"293",2018-06-21,19966,15.3,29.4,0.7,56,9.1,0,0,0,0,0
"294",2018-12-15,3197,-4.7,-1.8,0,85,0,0,0,1,0,0
"295",2018-12-23,1586,6.6,11.2,16.5,98,0,0,0,0,1,0
"296",2018-01-23,7269,2.6,6.3,0.2,98,0,0,0,0,0,0
"297",2018-06-06,18374,15.6,28.4,3.5,70,9.5,0,0,0,0,0
"298",2018-11-17,5596,0,7.5,0,9,8.4,0,0,1,0,0
"299",2018-09-11,20077,13.9,27.8,0,74,12,0,0,0,0,0
"300",2018-06-13,6539,12.1,15.5,12.6,95,0,0,0,0,0,0
"301",2018-10-30,10809,2,15.5,0,51,1.8,0,0,0,0,0
"302",2018-04-29,16843,10.6,27.8,0,69,12.2,0,0,0,1,0
"303",2018-04-09,16915,8.5,24,0,91,4.9,0,0,0,0,0
"304",2018-10-08,14935,9.4,18.4,0,55,4.2,0,0,0,0,0
"305",2018-12-03,8825,9.8,14.3,1.1,99,1.7,0,0,0,0,0
"306",2018-05-30,17381,16.1,26.9,0,65,10.5,0,0,0,0,0
"307",2018-12-02,2175,3.5,11.9,8.1,98,0.1,0,0,0,1,0
"308",2018-06-18,19158,15.2,23,0,79,6.7,0,0,0,0,0
"309",2018-11-16,10835,0.9,5.5,0,64,3.3,0,0,0,0,0
"310",2018-07-30,22922,18.7,32.3,0,10,12.5,0,0,0,0,0
"311",2018-11-12,14854,3.8,17.7,0,29,9.1,0,0,0,0,0
"312",2018-01-18,4923,0.4,9,10.5,91,3.4,0,0,0,0,0
"313",2018-02-13,4904,-3.7,2.3,0,41,5.4,0,0,0,0,0
"314",2018-11-14,12792,1.8,6.6,0,73,0,0,0,0,0,0
"315",2018-01-29,10349,4.6,13,0,36,9.1,0,0,0,0,0
"316",2018-04-01,1753,3.6,9,0.9,95,1.3,0,0,0,1,0
"317",2018-09-05,17049,12.3,24.7,0,34,11.1,0,0,0,0,0
"318",2018-02-01,5332,0.6,7.9,9.2,95,0,0,0,0,0,0
"319",2018-08-11,12044,12.4,24.7,0,56,12.8,0,0,1,0,0
"320",2018-02-20,4206,-3.1,-1.1,0.3,95,0,0,0,0,0,0
"321",2018-09-03,12151,12.5,19.4,24.5,99,2.9,0,0,0,0,0
"322",2018-11-08,13643,7.4,14.6,0,69,2.4,0,0,0,0,0
