"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"135",2017-12-01,10641,"-2.1","4.4","0.0","6.3",0.683,0,0,0,0,0
"136",2017-01-09,9749,"1.6","4.9","5.5","7.7",0.3,0,0,0,0,0
"137",2017-02-19,4698,"1.2","8.1","1.2","6.1",0.8,0,0,0,1,0
"138",2017-04-02,19154,"6.6","17.8","0.0","3.2",9,0,0,0,1,0
"139",2017-05-02,10506,"7.1","13.1","8.8","7.7",0.233,0,0,0,0,0
"140",2017-06-01,27358,"10.2","25.9","0.0","1.8",14,0,0,0,0,0
"141",2017-12-11,6160,"0.3","8.5","11.7","7.6",0,0,0,0,0,0
"142",2017-07-26,17041,"15.2","23.3","1.1","6.8",5.367,0,0,0,0,0
"143",2017-11-23,12575,"9.4","15.3","10.3","6.1",0.15,0,0,0,0,0
"144",2017-12-30,2488,"3.1","12.8","8.6","6.7",0,0,0,1,0,0
"145",2017-12-14,8459,"1.4","5.6","2.6","6.8",0.25,0,0,0,0,0
"146",2017-05-20,14835,"7.8","18.2","0.0","3.1",8.933,0,0,1,0,0
"147",2017-05-06,22253,"4.4","21.2","0.0","3.7",11.417,0,0,1,0,0
"148",2017-12-09,2063,"-0.4","2.1","1.8","6.4",0,0,0,1,0,0
"149",2017-09-29,16819,"16.2","23.0","9.5","6.9",5.6,0,0,0,0,0
"150",2017-08-20,10057,"11.5","19.5","0.0","5.3",3.333,0,0,0,1,0
"151",2017-01-15,3105,"-4.6","2.1","0.0","5.7",1.6,0,0,0,1,0
"152",2017-09-10,15796,"8.9","19.2","0.9","4.4",6.15,0,0,0,1,0
"153",2017-09-08,9034,"14.7","17.2","27.0","7.9",0,0,0,0,0,0
"154",2017-07-14,18087,"9.6","23.0","2.6","5.0",4.45,0,0,0,0,0
"155",2017-07-20,14903,"15.8","26.9","0.5","6.1",3.333,0,0,0,0,0
"156",2017-12-28,5472,"0.8","4.7","0.1","6.0",2.6,0,0,0,0,0
"157",2017-08-29,24230,"17.6","30.7","0.0","1.1",11.683,0,0,0,0,0
"158",2017-05-07,14775,"8.5","18.7","0.1","7.0",1.8,0,0,0,1,0
"159",2017-05-13,16535,"12.4","22.7","0.0","4.8",8.45,0,0,1,0,0
"160",2017-02-10,10151,"-2.8","0.9","2.1","7.9",0,0,0,0,0,0
"161",2017-10-31,4813,"4.9","10.9","0.1","7.7",0.083,0,0,0,1,0
"162",2017-06-08,19460,"12.5","25.6","0.0","6.4",7.3,0,0,0,0,0
"163",2017-04-27,17174,"-1.8","12.9","0.0","3.7",8.9,0,0,0,0,0
"164",2017-03-13,17249,"3.7","14.8","0.0","5.1",7.5,0,0,0,0,0
"165",2017-02-05,6822,"1.4","8.7","0.0","6.8",4.4,0,0,0,1,0
"166",2017-09-24,15495,"6.2","20.4","0.0","1.7",6.683,0,0,0,1,0
"167",2017-11-18,6174,"1.0","7.6","3.4","6.3",0.733,0,0,1,0,0
"168",2017-06-06,10278,"12.1","19.3","2.5","5.8",5.35,0,0,0,0,0
"169",2017-10-22,4187,"9.4","12.1","2.9","6.9",0,0,0,0,1,0
"170",2017-10-15,22118,"12.4","22.9","0.0","0.0",9.033,0,0,0,1,0
"171",2017-09-14,9414,"10.0","14.6","10.9","6.3",1.683,0,0,0,0,0
"172",2017-04-16,3857,"3.5","11.2","13.2","6.7",1.7,0,0,0,1,0
"173",2017-07-04,24347,"14.5","25.0","0.0","5.0",6.583,0,0,0,0,0
"174",2017-03-29,16852,"7.9","15.7","0.0","6.1",0.9,0,0,0,0,0
"175",2017-12-21,8087,"7.3","9.1","2.2","7.9",0,0,0,0,0,0
"176",2017-07-31,21965,"14.2","25.3","0.2","5.6",11.217,0,0,0,0,0
"177",2017-07-29,15326,"16.3","26.4","0.0","6.1",4.617,0,0,1,0,0
"178",2017-08-17,11873,"15.7","23.5","5.0","5.8",0.367,0,0,0,0,0
"179",2017-03-21,13467,"1.2","11.6","1.1","7.2",0.2,0,0,0,0,0
"180",2017-01-30,6214,"2.4","7.2","3.3","8.0",0,0,0,0,0,0
"181",2017-04-03,19061,"3.7","15.9","0.0","3.3",6.9,0,0,0,0,0
"182",2017-11-07,13394,"-1.3","9.0","0.0","3.6",5.55,0,0,0,0,0
"183",2018-03-13,6394,"4.5","9.4","6.0","7.9",0,0,0,0,0,0
"184",2018-03-19,9792,"-4.5","4.1","0.1","2.9",10.283,0,0,0,0,0
"185",2018-06-17,12341,"12.7","18.8","0.0","6.3",1.167,0,0,0,1,0
"186",2018-11-24,3740,"-1.9","5.2","3.1","8.0",0,0,0,1,0,0
"187",2018-04-26,15120,"6.1","14.3","4.6","4.7",4,0,0,0,0,0
"188",2018-12-22,5663,"7.8","10.9","3.0","6.6",0.25,0,0,1,0,0
"189",2018-04-23,20333,"8.9","19.2","0.0","4.3",8.017,0,0,0,0,0
"190",2018-08-22,15210,"15.7","29.8","0.0","2.6",11.217,0,0,0,0,0
"191",2018-05-01,8778,"5.6","14.1","0.0","5.3",5.367,0,0,0,1,0
"192",2018-03-14,13890,"2.8","11.3","0.0","2.9",8.5,0,0,0,0,0
"193",2018-01-27,8888,"2.4","8.3","1.0","6.2",4,0,0,1,0,0
"194",2018-02-10,3198,"0.9","4.0","3.6","7.4",0,0,0,1,0,0
"195",2018-01-15,8742,"2.0","7.4","8.0","7.1",0.183,0,0,0,0,0
"196",2018-10-21,13891,"1.9","16.8","0.0","2.5",9.283,0,0,0,1,0
"197",2018-03-03,3029,"-2.9","3.5","0.2","7.0",1,0,0,1,0,0
"198",2018-05-12,20780,"9.5","23.9","0.1","5.5",10.8,0,0,1,0,0
"199",2018-02-04,3675,"-1.7","1.2","1.6","6.9",0.633,0,0,0,1,0
"200",2018-03-18,2816,"-4.0","2.3","0.0","7.0",2.367,0,0,0,1,0
"201",2018-04-15,16536,"10.2","20.2","0.1","6.4",5.467,0,0,0,1,0
"202",2018-07-04,24507,"15.6","28.2","0.1","6.9",4.467,0,0,0,0,0
"203",2018-11-23,13299,"-1.6","11.0","0.0","2.3",6.083,0,0,0,0,0
"204",2018-06-02,12251,"16.1","22.1","0.0","7.2",1.283,0,0,1,0,0
"205",2018-01-31,7778,"2.6","10.0","5.4","7.6",0,0,0,0,0,0
"206",2018-02-06,10090,"-4.2","0.4","0.0","5.5",1.567,0,0,0,0,0
"207",2018-09-12,18873,"14.4","23.5","1.8","5.5",4.433,0,0,0,0,0
"208",2018-08-19,15105,"14.6","26.1","0.0","3.3",10.617,0,0,0,1,0
"209",2018-01-28,4832,"5.1","10.7","0.0","7.8",0.017,0,0,0,1,0
"210",2018-12-17,7907,"2.5","7.2","3.8","6.5",0,0,0,0,0,0
"211",2018-05-28,23169,"13.4","30.5","0.0","6.5",12.533,0,0,0,0,0
"212",2018-10-12,19306,"15.3","26.8","0.0","4.7",8.9,0,0,0,0,0
"213",2018-05-07,26104,"7.6","26.8","0.0","0.0",13.983,0,0,0,0,0
"214",2018-10-25,12071,"10.3","13.2","0.0","7.7",0,0,0,0,0,0
"215",2018-03-01,7230,"-8.7","2.2","0.0","5.8",7.233,0,0,0,0,0
"216",2018-10-11,18421,"13.2","22.9","0.0","2.4",6.133,0,0,0,0,0
"217",2018-12-09,2706,"5.9","10.7","2.3","6.4",0.55,0,0,0,1,0
"218",2018-09-25,16537,"3.0","15.8","0.0","3.0",9.867,0,0,0,0,0
"219",2018-04-03,10618,"9.2","17.8","0.3","7.0",2.117,0,0,0,0,0
"220",2018-10-27,9392,"3.6","10.2","0.5","5.3",1.8,0,0,1,0,0
"221",2018-07-21,19080,"16.1","29.9","0.0","4.2",10.067,0,0,1,0,0
"222",2018-04-08,20600,"10.0","24.9","0.0","5.6",4.733,0,0,0,1,0
"223",2018-10-09,18126,"5.6","21.2","0.0","4.7",7.517,0,0,0,0,0
"224",2018-08-29,15285,"10.4","26.6","10.5","5.8",5.4,0,0,0,0,0
"225",2018-02-02,8483,"2.3","6.4","1.6","7.4",0.683,0,0,0,0,0
"226",2018-12-16,2481,"-1.4","2.9","0.1","7.8",0,0,0,0,1,0
"227",2018-04-27,18187,"4.0","18.5","0.0","6.0",9.217,0,0,0,0,0
"228",2018-03-27,8042,"-1.0","11.5","4.5","5.6",3.15,0,0,0,0,0
"229",2018-08-05,19442,"16.1","28.4","0.0","2.3",11.133,0,0,0,1,0
"230",2018-10-07,9883,"4.5","15.8","0.0","5.2",6.933,0,0,0,1,0
"231",2018-10-20,12731,"2.3","15.6","0.0","3.8",8.217,0,0,1,0,0
"232",2018-04-18,28210,"7.2","26.2","0.0","2.7",12.317,0,0,0,0,0
"233",2018-09-28,12480,"4.5","16.2","0.3","4.0",2.15,0,0,0,0,0
"234",2018-09-27,18790,"8.4","22.6","0.0","0.0",10.883,0,0,0,0,0
"235",2018-08-27,10914,"13.0","22.3","0.1","7.1",1.55,0,0,0,0,0
"236",2018-07-28,14161,"17.1","29.6","2.3","4.1",5.783,0,0,1,0,0
"237",2018-04-07,18198,"9.5","23.3","0.0","5.2",11.333,0,0,1,0,0
"238",2018-08-12,21154,"11.0","29.0","0.8","5.6",11.733,0,0,0,1,0
"239",2018-12-31,4222,"7.9","9.4","0.1","8.0",0,0,0,0,0,0
"240",2018-02-22,10145,"-4.2","4.8","0.0","0.5",8.783,0,0,0,0,0
"241",2018-02-25,3952,"-6.3","0.7","0.0","1.4",9.333,0,0,0,1,0
"242",2018-12-06,11418,"7.5","12.9","1.8","7.8",0,0,0,0,0,0
"243",2018-07-18,26073,"11.4","27.8","0.0","2.1",12.583,0,0,0,0,0
"244",2018-09-13,14543,"9.0","19.1","0.0","6.2",1.1,0,0,0,0,0
"245",2018-07-20,23423,"12.3","29.6","0.0","4.9",12.05,0,0,0,0,0
"246",2018-03-16,8020,"0.4","7.6","1.4","7.7",0,0,0,0,0,0
"247",2018-01-02,5846,"4.9","7.2","18.3","7.5",0.117,0,0,0,0,0
"248",2018-12-27,6353,"0.3","5.9","0.0","6.6",1.717,0,0,0,0,0
"249",2018-05-11,20957,"4.5","20.6","0.0","3.5",6.867,0,0,0,0,0
"250",2018-08-21,15642,"18.2","27.7","0.0","5.9",3.767,0,0,0,0,0
"251",2018-11-11,4777,"11.0","15.3","4.0","7.2",0.567,0,0,0,1,0
"252",2018-06-05,22715,"13.2","22.0","0.0","4.6",5.45,0,0,0,0,0
"253",2018-07-16,24592,"13.3","30.5","0.0","2.0",14.6,0,0,0,0,0
"254",2018-08-08,16261,"16.1","26.9","0.0","5.3",4.367,0,0,0,0,0
"255",2018-08-23,13402,"14.4","27.0","1.2","1.4",11.75,0,0,0,0,0
"256",2018-01-01,2379,"4.7","8.9","8.1","6.5",0.65,0,0,0,1,0
"257",2018-06-22,15366,"9.6","18.3","0.7","5.2",4.5,0,0,0,0,0
"258",2018-03-24,9729,"0.1","12.3","0.0","5.2",7.183,0,0,1,0,0
"259",2018-07-27,19281,"19.9","36.4","0.0","0.9",14.35,0,0,0,0,0
"260",2018-08-07,18858,"16.0","36.7","5.0","2.6",11.883,0,0,0,0,0
"261",2018-12-12,12000,"-1.6","5.3","0.0","4.9",0.3,0,0,0,0,0
"262",2018-04-13,17391,"5.1","15.4","0.0","6.5",0.05,0,0,0,0,0
"263",2018-09-10,17332,"13.7","21.8","0.0","6.7",0.9,0,0,0,0,0
"264",2018-06-29,25192,"15.2","29.3","0.0","0.3",15.217,0,0,0,0,0
"265",2018-06-11,21357,"14.8","23.0","0.0","5.9",6.933,0,0,0,0,0
"266",2018-08-09,13288,"15.0","30.2","0.9","6.5",2.333,0,0,0,0,0
"267",2018-06-12,17644,"12.9","19.0","0.7","7.0",0.383,0,0,0,0,0
"268",2018-06-16,15190,"13.3","24.9","1.1","5.9",4.783,0,0,1,0,0
"269",2018-02-18,6719,"-4.2","7.6","0.0","2.0",7.183,0,0,0,1,0
"270",2018-07-09,22056,"12.8","24.9","0.0","4.6",7.383,0,0,0,0,0
"271",2018-06-10,15443,"17.1","25.6","0.0","5.8",5.583,0,0,0,1,0
"272",2018-05-21,20880,"10.4","26.9","1.1","4.5",11.583,0,0,0,1,0
"273",2018-09-04,17260,"14.3","26.7","3.3","5.5",6.333,0,0,0,0,0
"274",2018-08-17,10568,"13.3","23.6","5.0","4.6",4.233,0,0,0,0,0
"275",2018-10-10,20415,"6.2","26.1","0.0","0.7",10.05,0,0,0,0,0
"276",2018-11-03,8871,"-0.8","10.3","0.0","4.0",7.95,0,0,1,0,0
"277",2018-01-25,10440,"6.8","12.2","0.9","7.9",0,0,0,0,0,0
"278",2018-03-22,6738,"2.1","7.9","3.3","7.7",0.033,0,0,0,0,0
"279",2018-08-10,18745,"13.0","24.1","2.0","4.3",10.417,0,0,0,0,0
"280",2018-07-22,20044,"16.1","28.6","0.0","2.8",8.6,0,0,0,1,0
"281",2018-04-14,21465,"8.7","18.0","4.3","7.0",4.533,0,0,1,0,0
"282",2018-01-03,3874,"5.2","11.1","7.5","7.0",0.15,0,0,0,0,0
"283",2018-06-28,25230,"12.8","28.0","0.0","1.6",14.9,0,0,0,0,0
"284",2018-05-27,14658,"15.3","27.9","0.3","5.7",6.533,0,0,0,1,0
"285",2018-10-04,13566,"6.7","17.6","0.0","4.8",3.283,0,0,0,0,0
"286",2018-12-01,6687,"5.3","10.5","7.4","6.1",1.367,0,0,1,0,0
"287",2018-09-17,19963,"8.9","26.4","0.0","5.6",10.45,0,0,0,0,0
"288",2018-07-24,22195,"16.7","33.5","0.0","1.0",13.467,0,0,0,0,0
"289",2018-11-29,9769,"7.2","9.1","0.7","7.3",0,0,0,0,0,0
"290",2018-06-30,19755,"15.2","28.3","0.0","0.5",15.217,0,0,1,0,0
"291",2018-05-13,3510,"12.0","18.0","14.4","7.0",0.667,0,0,0,1,0
"292",2018-04-16,20833,"6.3","18.4","0.0","4.0",6.183,0,0,0,0,0
"293",2018-06-21,17123,"10.3","19.0","0.0","3.5",5.433,0,0,0,0,0
"294",2018-12-15,5902,"-0.4","1.5","0.7","7.2",0,0,0,1,0,0
"295",2018-12-23,2203,"5.8","9.3","11.0","7.8",0,0,0,0,1,0
"296",2018-01-23,10684,"5.1","10.8","0.0","7.5",0.4,0,0,0,0,0
"297",2018-06-06,25777,"13.0","28.8","0.0","1.3",15.05,0,0,0,0,0
"298",2018-11-17,8859,"-2.8","11.4","0.0","0.3",7.617,0,0,1,0,0
"299",2018-09-11,20405,"13.5","26.6","0.0","5.5",10.15,0,0,0,0,0
"300",2018-06-13,19549,"9.6","17.9","0.0","5.6",1.317,0,0,0,0,0
"301",2018-10-30,8521,"3.1","9.2","6.1","7.8",0,0,0,0,0,0
"302",2018-04-29,9818,"4.5","22.2","7.6","5.5",2.633,0,0,0,1,0
"303",2018-04-09,20419,"7.8","19.8","0.0","6.3",0.967,0,0,0,0,0
"304",2018-10-08,16388,"2.5","17.0","0.0","5.1",9.683,0,0,0,0,0
"305",2018-12-03,9946,"8.8","13.9","5.9","6.8",0.067,0,0,0,0,0
"306",2018-05-30,22892,"14.8","27.9","1.1","3.5",10.4,0,0,0,0,0
"307",2018-12-02,2851,"8.6","14.3","13.1","7.8",0,0,0,0,1,0
"308",2018-06-18,18748,"14.5","22.4","0.0","7.0",0.883,0,0,0,0,0
"309",2018-11-16,14026,"-1.0","12.8","0.0","0.3",7.583,0,0,0,0,0
"310",2018-07-30,19690,"18.7","34.2","0.0","4.3",10.6,0,0,0,0,0
